NF;Data emissão NF;Qtde. Volumes;CIA;CTRC;Data emissão CTE;Cód. Destinatário;Destinatário;Cidade Destino;UF;Agente Transporte;Tipo Agente;Data de inicio de transporte;Previsão;Data da entrega;Status;Ocorrência Entrega;Nome Recebedor;Status 2;Motivo;Status Parceiro
138831;02/01/2025;1;LOU01;8314;02/01/2025;1500001279;ANDAIMES MARILIA EQUIPAMENTOS PARA CONST;MARILIA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;02/01/2025;07/01/2025;07/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138832;02/01/2025;1;LOU01;8305;02/01/2025;44846673;O.F.PIRES MANUTENCAO E OPERACAO DE MAQUI;SETE LAGOAS;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;02/01/2025;08/01/2025;06/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138833;02/01/2025;1;LOU01;8316;02/01/2025;695748;PTA COM E LOC DE EQUIP LTDA;ARUJA;SP;ALFA TRANSPORTES EIRELLI;Transportadora;02/01/2025;07/01/2025;06/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138835;02/01/2025;1;LOU01;8313;02/01/2025;44789987;TRADIMAQ LTDA;CARIACICA;ES;RODOVIARIO CAMILO DOS SANTOS FILHO LTDA;Transportadora;02/01/2025;08/01/2025;07/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138837;02/01/2025;1;LOU01;8302;02/01/2025;738980;AURABRASIL TRANSP MAQ E EQUIP LTDA;CONTAGEM;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;02/01/2025;08/01/2025;03/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138840;02/01/2025;1;LOU01;8301;02/01/2025;696038;A GERADORA ALUGUEL DE MAQUINAS S/A;FORTALEZA;CE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;02/01/2025;13/01/2025;07/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138841;02/01/2025;1;LOU01;8300;02/01/2025;695010;A GERADORA ALUGUEL;NOSSA SENHORA DO SOCORRO;SE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;02/01/2025;14/01/2025;09/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138842;02/01/2025;1;LOU01;8300;02/01/2025;695010;A GERADORA ALUGUEL;NOSSA SENHORA DO SOCORRO;SE;TERMACO TERM. M. CONT. SERV ACESS. LTDA;Transportadora;02/01/2025;14/01/2025;09/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138844;02/01/2025;1;LOU01;8315;02/01/2025;44999287;LOCALL LOCACAO DE EQUIPAMENTOS;JOINVILLE;SC;ALFA TRANSPORTES EIRELLI;Transportadora;02/01/2025;07/01/2025;08/01/2025;Entregue Fora do Prazo;Atraso na transferência entre filiais do transportador.;;Entrega Finalizada;Atraso Transferência;Entregue Fora do Prazo
138845;02/01/2025;1;LOU01;8303;02/01/2025;44822314;LOCALL LOCACAO DE MAQUINAS;SAO JOSE;SC;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;02/01/2025;08/01/2025;03/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138846;02/01/2025;2;LOU01;8322;02/01/2025;136404;TRADIMAQ LTDA;CONTAGEM;MG;XD BETIM;Agregado;02/01/2025;07/01/2025;06/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
138847;02/01/2025;1;LOU01;8307;02/01/2025;136404;TRADIMAQ LTDA;CONTAGEM;MG;EMP.  BRA. CORREIOS  TELEGRAFOS;Transportadora;02/01/2025;08/01/2025;03/01/2025;Entregue No Prazo;Entregue Normal;;Entrega Finalizada;-;Entregue No Prazo
